# GeoNames cities15000; CC BY 4.0
# geoname_id,latitude,longitude,country_code,encoded_name
94787,35.468060,44.392220,IQ,Kirkuk
94824,32.616030,44.024880,IQ,Karbala
95005,34.628050,45.318520,IQ,Kelar
95446,36.191170,44.009430,IQ,Erbil
95788,33.636640,42.827680,IQ,Hit
96046,36.551110,44.352580,IQ,Harir
96205,35.177780,45.986110,IQ,Halabja
96309,34.136610,42.377270,IQ,Hadithah
96833,36.277980,43.670650,IQ,Xebat
96961,36.655580,44.542170,IQ,Soran
96994,36.866080,42.987900,IQ,Dihok
97417,35.533560,44.834300,IQ,Jamjamal
97783,34.929150,43.488780,IQ,Bayji
97825,37.174540,43.012330,IQ,Batifa
97990,33.754030,44.605180,IQ,Baqubah
98012,35.620540,45.949080,IQ,Baynjiwayn
98112,34.014850,44.145740,IQ,Balad
98156,36.315560,44.035330,IQ,Baharkah
98182,33.340580,44.400880,IQ,Baghdad
98245,30.392130,47.701750,IQ,Az%20Zubayr
98459,32.925560,44.775830,IQ,As%20Suwayrah
98463,35.564960,45.432900,IQ,Sulaymaniyah
98530,31.331980,45.294400,IQ,As%20Samawah
98589,31.583760,44.646750,IQ,Nahiyat%20ash%20Shinafiyah
98622,31.409060,46.172700,IQ,Ash%20Shatrah
98629,31.962570,44.600750,IQ,Ash%20Shamiyah
98677,33.037180,40.285860,IQ,Ar%20Rutbah
98685,31.528450,45.203770,IQ,Ar%20Rumaythah
98717,33.420560,43.307780,IQ,Ramadi
98822,36.760380,43.894280,IQ,%27Aqrah
98846,32.556210,45.412930,IQ,An%20Nu%27maniyah
98854,31.057990,46.257260,IQ,Nasiriyah
98860,32.025940,44.346250,IQ,Najaf
98885,34.469340,41.942230,IQ,%27Anat%20al%20Qadimah
98993,31.015470,47.433620,IQ,Al%20Qurnah
99010,32.297990,44.682820,IQ,Al-Qasim
99039,32.778720,44.290050,IQ,Al-Musayab
99060,31.804370,44.489300,IQ,Al%20Mishkhab
99062,33.978610,44.936940,IQ,Al%20Miqdadiyah
99071,36.332710,43.105550,IQ,Al%20Mawsil%20al%20Jadidah
99072,36.335000,43.118890,IQ,Mosul
99100,33.062210,44.365640,IQ,Al%20Mahmudiyah
99103,32.661380,44.408540,IQ,Al%20Mahawil
99106,30.963240,47.269980,IQ,Al%20Madinah
99131,32.512800,45.818170,IQ,Al-Kut
99135,32.051140,44.440170,IQ,Kufa
99169,33.808090,44.533430,IQ,Khalis
99226,32.887300,44.346190,IQ,Nahiyat%20al%20Iskandariyah
99306,32.461860,46.687940,IQ,%27Ali%20al%20Gharbi
99344,32.541930,44.224690,IQ,Al%20Hindiyah
99347,32.463670,44.419630,IQ,Al%20Hillah
99350,32.174190,46.043450,IQ,Al%20Hayy
99369,30.584810,47.761140,IQ,Al%20Harithah
99434,31.743110,44.619600,IQ,Nahiyat%20Ghammas
99439,30.969720,46.722780,IQ,Nahiyat%20al%20Fuhud
99446,29.974210,48.473090,IQ,Al%20Faw
99454,33.349130,43.785990,IQ,Al%20Fallujah
99532,30.508520,47.780400,IQ,Basrah
99548,32.909410,45.063590,IQ,Al%20%27Aziziyah
99608,31.835610,47.144830,IQ,Al%20%27Amarah
99738,32.064300,45.247430,IQ,%27Afak
99759,33.846670,44.234440,IQ,Ad%20Dujayl
99762,31.992890,44.925520,IQ,Al%20Diwaniyah
100077,33.305630,44.184770,IQ,Abu%20Ghurayb
100425,24.089540,38.061800,SA,Yanbu
100926,25.021260,37.268500,SA,Umluj
101312,31.672520,38.663740,SA,Turaif
101313,31.672000,38.663000,SA,Turayf
101322,21.214060,41.633100,SA,Turabah
101516,27.622330,38.538820,SA,Tayma%27
101554,26.573300,50.040280,SA,Tarut
101628,28.399800,36.571510,SA,Tabuk
101631,30.499870,38.216030,SA,Tubarjal
101732,26.100000,44.000000,SA,Unaizah
101760,24.492580,39.585720,SA,Sultanah
102170,25.240190,45.251040,SA,Shaqra
102318,26.483450,50.048490,SA,Sayhat
102451,16.596010,42.944350,SA,Samitah
102527,29.969740,40.206410,SA,Sakakah
102585,26.649700,49.955220,SA,Safwa
102651,17.149500,42.625370,SA,Sabya
102744,25.563950,47.164080,SA,Rumah
102891,26.707420,50.067350,SA,Ras%20Tanura
102985,26.707910,50.061940,SA,Rahimah
103035,22.798560,39.034930,SA,Rabigh
103369,20.000540,42.605200,SA,Qal%60at%20Bishah
103630,17.493260,44.127660,SA,Najran
104515,21.426640,39.825630,SA,Makkah
104578,23.499660,40.884080,SA,Mahd%20adh%20Dhahab
104716,22.292060,46.723760,SA,Layla
104828,28.450000,45.966670,SA,King%20Faisal%20Military%20City
104923,22.155530,39.320150,SA,Khulays
105072,18.300000,42.733330,SA,Khamis%20Mushait
105299,16.889170,42.551110,SA,Jizan
105343,21.490120,39.186240,SA,Jeddah
105586,24.680290,46.611090,SA,%27Irqah
106102,29.286270,34.946870,SA,Haql
106281,27.521880,41.690730,SA,Ha%27il
106297,28.432790,45.970770,SA,Hafar%20Al-Batin
106667,17.280600,43.137350,SA,Fayfa%27
106909,27.351340,35.690140,SA,Duba
107117,17.104260,42.781550,SA,Damad
107304,26.325990,43.974970,SA,Buraydah
107312,25.934020,49.668800,SA,Abqaiq
107588,27.906470,42.388980,SA,Baq%27a%27
107692,19.859440,41.557220,SA,Baljurashi
107744,23.782920,38.790470,SA,Badr%20Hunayn
107781,26.299450,44.815420,SA,Az%20Zulfi
107797,26.288640,50.113960,SA,Dhahran
107959,25.362320,49.727570,SA,At%20Taraf
107968,21.270280,40.415830,SA,Ta%27if
107991,26.260220,50.204860,SA,Thuqbah
108048,20.460670,45.577920,SA,As%20Sulayyil
108410,24.687730,46.721850,SA,Riyadh
108435,25.869440,43.497300,SA,Ar%20Rass
108512,30.975310,41.038080,SA,Arar
108617,19.145470,42.120090,SA,An%20Nimas
108648,31.331760,37.342820,SA,Qurayyat
108655,26.519590,50.027150,SA,%27Inak
108773,26.230940,36.464920,SA,Al%20Wajh
108782,26.498290,43.631200,SA,%27Uyun%20al%20Jiwa%27
108841,26.608530,37.923160,SA,Al-%60Ula
108918,28.311170,46.127290,SA,Qaisumah
108927,26.565420,50.008900,SA,Al%20Qatif
109059,25.383330,49.666670,SA,Al%20Munayzilah
109101,25.407680,49.590280,SA,Al%20Mubarraz
109131,25.860120,44.222280,SA,Al%20Mithnab
109223,24.468610,39.614170,SA,Madinah
109253,20.148040,40.272240,SA,Al%20Lith
109306,21.911490,42.030920,SA,Al%20Khurmah
109323,26.279440,50.208330,SA,Khobar
109353,24.155410,47.334570,SA,Al%20Kharj
109380,28.439050,48.491320,SA,Al%20Khafji
109391,26.071790,43.624970,SA,Al%20Khabra%27
109417,21.619510,39.696590,SA,Al%20Jumum
109435,27.017400,49.622510,SA,Al%20Jubayl
109571,25.364670,49.587640,SA,Al%20Hufuf
109878,26.139150,43.657820,SA,Al%20Bukayriyah
109915,25.433330,49.633330,SA,Al%20Battaliyah
109953,20.012880,41.467670,SA,Al%20Bahah
109998,26.591440,49.979510,SA,Al%20%27Awwamiyah
110059,20.650000,41.416670,SA,Al%20%27Aqiq
110060,20.273580,41.664340,SA,Al%20%27Aqiq
110250,23.906500,42.917240,SA,Afif
110312,24.751870,46.538740,SA,Ad%20Dir%27iyah
110314,23.991040,47.161810,SA,Ad%20Dilam
110325,24.507720,44.392370,SA,Ad%20Dawadimi
110336,26.434420,50.103260,SA,Dammam
110619,16.968870,42.832510,SA,Abu%20%27Arish
110690,18.216390,42.505280,SA,Abha
110831,37.086410,55.172220,IR,Azadshahr
111327,29.772370,52.718910,IR,Zarqan
111421,30.812710,56.563990,IR,Zarand
111453,36.676420,48.496280,IR,Zanjan
111822,31.897220,54.367500,IR,Yazd
112029,31.485950,48.875150,IR,Veys
112214,35.324200,51.645700,IR,Varamin
112422,34.551000,48.443530,IR,Tuyserkan
112616,36.310400,59.373500,IR,Torqabeh
112646,35.274010,59.219490,IR,Torbat-e%20Heydariyeh
112656,36.816260,50.873760,IR,Tonekabon
112931,35.694390,51.421510,IR,Tehran
113343,37.796580,48.905210,IR,Hashtpar
113491,36.070570,49.695710,IR,Takestan
113508,36.400900,47.113300,IR,Takab
113514,35.804400,51.425600,IR,Tajrish
113632,31.743840,54.202780,IR,Taft
113636,34.693070,50.016010,IR,Tafresh
113646,38.080000,46.291900,IR,Tabriz
113659,33.595860,56.924370,IR,Tabas
113723,30.455100,53.651000,IR,Surian
113797,36.571680,52.015300,IR,Nur
113860,37.301340,49.315040,IR,Sowme%27eh%20Sara
114049,34.781870,47.599450,IR,Sonqor
114106,36.230810,49.924990,IR,Eqbaliyeh
114259,29.451370,55.680900,IR,Sirjan
114489,37.153280,49.871360,IR,Siahkal
114584,32.049720,48.848430,IR,Shushtar
114593,32.194200,48.243600,IR,Shush
114930,37.396690,57.929520,IR,Shirvan
115019,29.610310,52.531130,IR,Shiraz
115382,36.211670,50.149990,IR,Sharifabad
115615,35.898140,49.769060,IR,Shal
115770,32.326120,50.857200,IR,Shahr-e%20Kord
115781,30.116500,55.118600,IR,Shahr-e%20Babak
116102,30.649240,48.664970,IR,Shadegan
116126,38.180400,45.702800,IR,Shabestar
116326,39.065080,44.384160,IR,Seyah%20Cheshmeh
116402,35.576910,53.392050,IR,Semnan
116406,31.416670,51.566670,IR,Semirom
116667,35.021300,50.356600,IR,Saveh
116725,29.273500,53.220300,IR,Sarvestan
116996,36.563320,53.060090,IR,Sari
117096,38.026130,46.147630,IR,Sardrud
117111,36.155200,45.478800,IR,Sardasht
117368,37.940800,47.536700,IR,Sarab
117392,36.249920,46.273500,IR,Saqqez
117574,35.314950,46.998830,IR,Sanandaj
117656,38.197300,44.765300,IR,Salmas
117773,36.917960,50.648020,IR,Ramsar
117793,36.679300,46.566900,IR,Shahin%20Dezh
117814,35.667700,51.185800,IR,Sa%27idabad
117835,34.481300,47.690800,IR,Sahneh
118024,36.888790,50.696400,IR,Katalem%20va%20Sadat%20Shahr
118063,36.212600,57.681910,IR,Sabzevar
118123,30.079210,53.134640,IR,Sa%27adat%20Shahr
118191,37.136960,50.291740,IR,Rudsar
118223,35.733380,51.905870,IR,Rudehen
118367,35.484600,51.082900,IR,Robat%20Karim
118532,37.549470,49.137360,IR,Rezvanshahr
118704,31.265620,56.805450,IR,Ravar
118705,34.715300,46.653300,IR,Ravansar
118743,37.276110,49.588620,IR,Rasht
118805,30.893150,49.407870,IR,Ramshir
118826,31.279970,49.603510,IR,Ramhormoz
118994,30.406700,55.993900,IR,Rafsanjan
119115,37.106000,58.509550,IR,Quchan
119161,35.166400,47.805640,IR,Qorveh
119208,34.640100,50.876400,IR,Qom
119264,28.482500,53.034600,IR,Qir
119369,36.114720,48.591110,IR,Qidar
119374,26.949200,56.269100,IR,Qeshm
119505,36.268770,50.004100,IR,Qazvin
119586,34.515600,45.579100,IR,Qasr-e%20Shirin
119730,38.891500,45.025500,IR,Qarah%20Zia%27%20od%20Din
120292,35.721400,51.109000,IR,Qods
120351,27.441940,57.191980,IR,Rudan
120678,32.271740,50.980080,IR,Farrokh%20Shahr
120694,33.726540,59.184390,IR,Qa%27en
120695,36.466710,52.867620,IR,Qa%27em%20Shahr
120931,34.461090,45.862640,IR,Sarpol-e%20Zahab
120949,33.152490,47.710140,IR,Poldokhtar
120954,39.348000,45.071000,IR,Poldasht
120972,35.308000,51.726700,IR,Pishva
121110,36.701000,45.141300,IR,Piranshahr
121240,35.043400,46.356500,IR,Paveh
121380,39.648200,47.917400,IR,Parsabad
121781,37.915040,46.122580,IR,Osku
121795,37.039700,45.098300,IR,Oshnaviyeh
121801,37.552740,45.076050,IR,Orumiyeh
121861,30.762770,49.702260,IR,Omidiyeh
121925,30.114050,51.521740,IR,Nurabad
121959,36.648520,51.496210,IR,Nowshahr
122285,36.213290,58.795750,IR,Neyshabur
122289,29.198800,54.327800,IR,Neyriz
122397,36.650790,53.299050,IR,Neka
122438,35.954110,50.606070,IR,Nazarabad
122491,33.511180,51.918080,IR,Natanz
122544,35.492090,51.138360,IR,Nasirshahr
122698,36.955300,45.388000,IR,Naqadeh
122787,27.497520,52.586530,IR,Nakhl-e%20Taqi
122864,29.385750,55.717580,IR,Najafshahr
122869,32.860060,53.087490,IR,Na%27in
122915,34.190880,48.374460,IR,Nahavand
123205,35.749880,50.943760,IR,Meshkin%20Dasht
123927,37.230150,55.372110,IR,Minudasht
123941,27.131040,57.087160,IR,Minab
124082,37.421000,47.715000,IR,Mianeh
124085,36.966670,46.109610,IR,Miandoab
124193,32.250140,54.016580,IR,Meybod
124210,38.399000,47.682000,IR,Meshgin%20Shahr
124274,31.584280,54.442800,IR,Mahriz
124620,31.936400,49.303900,IR,Masjed%20Soleyman
124647,29.922660,56.574330,IR,Bardsir
124665,36.298070,59.605670,IR,Mashhad
124721,29.874070,52.802580,IR,Marvdasht
124778,35.518290,46.182980,IR,Marivan
124838,35.728200,50.813400,IR,Mahdasht
124862,38.432900,45.774900,IR,Marand
124877,37.392060,46.239090,IR,Maragheh
124878,35.829160,59.633240,IR,Maragheh
124914,27.398930,57.497220,IR,Manujan
124967,36.744450,49.400820,IR,Manjil
125112,37.142580,46.103450,IR,Malekan
125185,34.301580,48.821660,IR,Malayer
125188,35.665900,50.976700,IR,Malard
125205,39.289920,44.460350,IR,Maku
125206,27.848600,52.423000,IR,Maku
125328,36.631910,52.262860,IR,Mahmudabad
125330,36.289670,49.901400,IR,Mahmudabad%20Nemuneh
125427,30.059430,57.291980,IR,Mahan
125438,33.911080,50.453170,IR,Mahallat
125446,36.763100,45.722200,IR,Mahabad
125489,30.715250,51.541310,IR,Madavan
125609,31.513380,50.826720,IR,Lordegan
125688,30.894900,50.093100,IR,Likak
125877,27.683360,54.341720,IR,Lar
125897,37.195480,50.152630,IR,Langarud
125926,27.334000,53.179000,IR,Lamerd
125938,32.329810,49.093240,IR,Lali
126015,37.204160,50.009190,IR,Lahijan
126082,31.239170,48.656390,IR,Kut-e%20%27Abdollah
126409,33.533350,47.609990,IR,Kuhdasht
126572,36.793070,54.112140,IR,Kord%20Kuy
126914,26.557780,54.019440,IR,Kish
126972,38.550300,44.952100,IR,Khuy
127014,28.654300,51.380000,IR,Khurmuj
127033,33.220520,50.314970,IR,Khansar
127219,37.949700,46.052800,IR,Khosrowshahr
127319,30.440790,48.184280,IR,Khorramshahr
127349,33.487780,48.355830,IR,Khorramabad
127382,27.891300,53.434400,IR,Khonj
127403,33.638890,50.080030,IR,Khomeyn
127415,37.390160,49.658460,IR,Khomam
127992,26.952100,55.585100,IR,Bandar-e%20Khamir
128008,37.618370,48.529280,IR,Khalkhal
128226,34.314170,47.065000,IR,Kermanshah
128234,30.283210,57.078790,IR,Kerman
128321,29.619190,51.653500,IR,Kazerun
128392,37.014220,54.230040,IR,Simin%20Shahr
128447,35.238310,58.465580,IR,Kashmar
128476,33.982370,51.427690,IR,Kashan
128747,35.832660,50.991550,IR,Karaj
128748,34.060950,49.644620,IR,Karahrud
128831,34.504300,47.965300,IR,Kangavar
128847,27.834340,52.063060,IR,Bandar-e%20Kangan
128905,34.795350,46.936820,IR,Kamyaran
129512,37.378990,55.493000,IR,Kalaleh
129664,35.346500,51.844180,IR,Kahrizak
129904,35.209240,48.723410,IR,Kabudarahang
129929,33.827200,46.309700,IR,Eyvan
129933,36.640880,52.912060,IR,Juybar
130276,25.645330,57.775520,IR,Jask
130451,27.829770,52.325180,IR,Jam
130524,36.950120,56.380050,IR,Jajarm
130531,28.500000,53.560500,IR,Jahrom
130697,31.830270,49.867560,IR,Izeh
130802,33.637400,46.422700,IR,Ilam
130821,31.461900,48.074000,IR,Hoveyzeh
131559,30.236300,49.711900,IR,Hendijan
131691,35.962000,50.679900,IR,Hashtgerd
131831,35.367320,51.234980,IR,Hasanabad
131962,34.272100,47.586100,IR,Harsin
132105,31.482850,48.433200,IR,Hamidiyeh
132144,34.799220,48.514560,IR,Hamadan
132380,28.357350,54.423350,IR,Hajjiabad
132382,28.309100,55.901700,IR,Hajjiabad
